"Date","Price","Open","High","Low","Vol.","Change %"
"02/26/2018","86,325","85,930","86,810","85,843","","0.40%"
"02/23/2018","85,978","86,522","86,572","85,911","","-0.62%"
"02/22/2018","86,511","85,841","86,589","85,755","","0.82%"
"02/21/2018","85,807","86,245","86,577","85,683","","-0.45%"
"02/20/2018","86,193","86,530","87,090","86,053","","-0.34%"
"02/19/2018","86,487","86,588","86,824","86,469","","-0.06%"
"02/16/2018","86,540","86,481","87,307","86,358","","0.11%"
"02/15/2018","86,443","86,570","86,880","86,191","","-0.10%"
"02/14/2018","86,530","85,418","86,896","84,567","","1.32%"
"02/13/2018","85,405","85,023","85,559","84,948","","0.51%"
"02/12/2018","84,976","84,629","85,342","84,571","","0.29%"
"02/09/2018","84,728","84,777","85,059","84,386","","-0.05%"
"02/08/2018","84,774","84,760","85,001","83,987","","0.04%"
"02/07/2018","84,740","85,082","85,460","84,326","","-0.35%"
"02/06/2018","85,038","85,906","86,611","84,792","","-0.96%"
"02/05/2018","85,864","85,424","86,049","85,215","","0.46%"
"02/02/2018","85,467","86,293","86,538","85,112","","-0.92%"
"02/01/2018","86,260","85,475","86,452","85,222","","0.97%"
"01/31/2018","85,436","85,253","85,661","84,700","","0.25%"
"01/30/2018","85,224","85,297","85,831","84,890","","0.01%"
"01/29/2018","85,211","85,852","85,994","85,039","","-0.71%"
"01/26/2018","85,818","85,526","86,207","85,390","","0.24%"
"01/25/2018","85,611","86,443","86,753","85,296","","-0.95%"
"01/24/2018","86,436","85,552","86,721","85,285","","1.11%"
"01/23/2018","85,483","85,230","85,570","84,908","","0.34%"
"01/22/2018","85,192","85,210","85,375","84,809","","0.26%"
"01/19/2018","84,971","84,758","85,318","84,691","","0.31%"
"01/18/2018","84,711","84,783","85,124","84,589","","0.03%"
"01/17/2018","84,689","85,703","86,051","84,716","","-1.12%"
"01/16/2018","85,651","85,143","85,808","84,992","","0.67%"
"01/15/2018","85,082","85,043","85,382","84,962","","-0.04%"
"01/12/2018","85,118","84,227","85,224","84,169","","1.11%"
"01/11/2018","84,187","83,791","84,330","83,752","","0.52%"
"01/10/2018","83,753","83,599","84,380","83,298","","0.23%"
"01/09/2018","83,557","83,796","83,860","83,363","","-0.27%"
"01/08/2018","83,781","83,648","83,902","83,378","","0.24%"
"01/05/2018","83,584","83,859","83,920","83,256","","-0.29%"
"01/04/2018","83,828","83,392","84,073","82,927","","0.56%"
"01/03/2018","83,364","83,643","83,872","83,026","","-0.26%"
"01/02/2018","83,578","82,951","83,712","82,950","","0.78%"
"01/01/2018","82,934","83,174","83,187","82,887","","-0.24%"
"12/29/2017","83,135","82,977","83,501","82,698","","0.23%"
"12/28/2017","82,947","82,546","83,023","82,515","","0.55%"
"12/27/2017","82,495","82,240","82,675","82,084","","0.44%"
"12/26/2017","82,135","81,642","82,258","81,523","","0.65%"
"12/25/2017","81,604","81,641","81,641","81,641","","0.02%"
"12/22/2017","81,588","81,093","81,711","80,981","","0.66%"
"12/21/2017","81,055","81,134","81,333","80,871","","-0.06%"
"12/20/2017","81,104","80,825","81,309","80,803","","0.39%"
"12/19/2017","80,787","81,015","81,123","80,618","","-0.24%"
"12/18/2017","80,977","80,342","81,257","80,269","","0.69%"
"12/15/2017","80,419","80,618","80,830","80,276","","-0.17%"
"12/14/2017","80,557","80,942","81,177","80,479","","-0.43%"
"12/13/2017","80,907","80,144","81,040","79,915","","1.01%"
"12/12/2017","80,098","79,922","80,366","79,613","","0.24%"
"12/11/2017","79,909","80,453","80,588","79,833","","-0.66%"
"12/08/2017","80,443","80,503","80,706","80,213","","-0.05%"
"12/07/2017","80,481","81,523","81,611","80,322","","-1.24%"
"12/06/2017","81,489","81,502","81,871","81,357","","0.06%"
"12/05/2017","81,439","82,179","82,261","81,190","","-0.83%"
"12/04/2017","82,122","82,156","82,337","81,824","","-0.56%"
"12/01/2017","82,585","82,197","83,210","82,006","","0.50%"
"11/30/2017","82,175","82,641","82,924","81,924","","-0.49%"
"11/29/2017","82,580","83,348","83,572","82,477","","-0.88%"
"11/28/2017","83,314","83,457","83,622","83,150","","-0.13%"
"11/27/2017","83,424","83,363","83,798","83,222","","0.17%"
"11/24/2017","83,284","83,401","83,678","83,207","","-0.06%"
